accession	label	length	mean_perplexity
A0A1L4BKS3	viral	485	11.425489786449559
P00573	viral	883	9.62861614890524
P03015	viral	193	3.298809196994696
P03630	viral	128	16.2193319533074
P03631	viral	513	16.34434770695509
P03639	viral	91	15.912680517655243
P03685	viral	104	15.57845622309729
P03705	viral	107	16.06492029270481
P04392	viral	259	9.348384097446967
P04418	viral	138	17.536698127114875
P04531	viral	241	15.926902532768535
P06229	viral	291	13.572174933662419
P09385	viral	319	16.784046938412523
P11014	viral	332	17.045105812508755
P13520	viral	586	9.516781982421268
P26747	viral	430	16.65213415002661
P46085	viral	623	15.14844869612091
Q8LTE2	viral	420	17.582502980726154
Q9XJP3	viral	623	10.981553047159723
M5AAG8	viral	718	12.698681690819896
P00588	viral	567	16.810995508680612
P00971	viral	374	17.45153639804684
P03615	viral	133	15.830211170544112
P03706	viral	158	7.028637642829458
P06022	viral	140	16.67900214705585
P08557	viral	495	15.289876937914077
P10310	viral	586	7.0625283397255165
P13314	viral	88	18.326416683000314
P16517	viral	130	14.615925766059448
P17312	viral	610	9.465040706323192
P69179	viral	89	14.18764007238892
Q37875	viral	185	9.226057631364228
Q37935	viral	60	15.680550781409957
Q7Y3F1	viral	465	16.799604473113124
Q7Y3F3	viral	72	15.128384712646932
A0A068Q5Q5	viral	651	15.218271038284511
A4ZFB2	viral	206	12.748282624200924
P00581	viral	704	10.954968592406987
P03612	viral	130	16.558649728239512
P03656	viral	348	9.253139966432764
P03679	viral	86	18.193417738578283
P03680	viral	575	15.12911692862746
P03763	viral	312	8.619614280295087
P06019	viral	196	16.470115012448638
P06807	viral	212	17.63940898438132
P07636	viral	663	11.087353239012376
P0DPR0	viral	286	14.104624653688617
P11124	viral	665	18.10400499854672
P13304	viral	97	16.796376480987888
P13342	viral	217	16.755192016616427
P14647	viral	589	15.851716152833667
P20345	viral	854	13.114769682950001
P49714	viral	811	17.13239289761008
P49861	viral	385	8.513505425572372
P69539	viral	73	12.85591070114645
Q06259	viral	126	10.675247989251735
Q6QGP4	viral	250	15.44057886085057
Q8HA43	viral	443	12.800857334027247
Q9ZX29	viral	76	12.364566983495179
B3FK34	viral	315	17.067260160845674
P00720	viral	164	8.974767240365177
P00806	viral	151	9.247604260553564
P07071	viral	605	5.8176988035249035
P0DXF1	viral	502	10.955078291414154
P12528	viral	667	14.290347135280918
P15057	viral	339	8.603868300614787
P32277	viral	334	14.457642444008401
P39421	viral	200	17.865553776333286
P54308	viral	422	4.891182300083158
P69168	viral	424	13.62913522025106
Q38087	viral	903	13.082041673704136
Q8SD18	viral	260	10.648656063075482
Q9T1V4	viral	197	13.372016541084575
B8QIR1	viral	481	12.147819709266033
D1L2X1	viral	576	16.01923393291824
P03661	viral	424	13.599146693562885
P03681	viral	266	15.968559800175267
P03692	viral	566	9.151612836192287
P03707	viral	181	12.069451552012179
P03708	viral	641	1.3279193967152447
P03711	viral	439	5.816161464548986
P04415	viral	898	13.657115577312775
P04524	viral	185	17.146266002732258
P15879	viral	251	15.97809968803738
P16009	viral	575	14.681249292227736
P26745	viral	499	6.797432949317634
P27380	viral	265	10.386159772193274
P39423	viral	207	17.73710882976247
Q06253	viral	73	13.404268310544339
Q6QGD8	viral	458	14.683437131852749
Q6Y7T6	viral	495	13.597126897380251
Q9MCT1	viral	504	4.502715384386423
K9L8K6	viral	883	14.630111924004568
O09496	viral	632	14.54146665405271
P00276	viral	87	18.06247779770472
P03034	viral	237	7.7375538382839535
P03657	viral	348	9.251152465357862
P03694	viral	586	6.742095173772529
P03712	viral	110	16.494136928414235
P04332	viral	309	17.699549890936492
P07065	viral	442	11.232751281055927
P08558	viral	379	10.31469939419405
P10277	viral	777	3.1389848163972887
P12427	viral	259	8.830915213700308
P13559	viral	149	18.170659328639818
P19894	viral	572	14.830042693689913
P36693	viral	642	1.9548613284192962
P69169	viral	424	13.62388838638054
Q6QGD7	viral	210	13.38778798472064
Q77WJ4	viral	305	11.926216250247451
A0A345MJY6	viral	256	9.961044886837286
A0A7U3TCA2	viral	175	16.27710301904362
A4ZFB3	viral	324	16.896229690202308
O80297	viral	460	14.71138611212956
P00814	viral	188	9.693518184087017
P00969	viral	359	13.300643582332869
P00970	viral	487	14.90772094433926
P03040	viral	66	14.530872031508961
P03633	viral	120	18.04476552716307
P03663	viral	434	14.586857396328575
P03682	viral	125	18.870257830136648
P03700	viral	356	6.835367252723565
P04526	viral	319	11.467145422064853
P04530	viral	475	11.956962030689205
P06020	viral	75	15.79951507406218
P06855	viral	301	10.216603457827155
P07059	viral	136	14.928901700193112
P08026	viral	315	16.70363139203743
P09009	viral	259	15.902353138714245
P11125	viral	332	17.226656113875723
P13334	viral	524	14.724899573267688
P13771	viral	312	8.799746461952655
P15132	viral	365	15.75401255931989
P16006	viral	193	9.472998711396048
P26744	viral	725	16.678870920300326
P54309	viral	503	16.96885579860435
P79678	viral	495	15.881002852222137
Q6QGD5	viral	403	15.215557297991104
Q6UAV6	viral	640	16.20982581156615
Q6XQ97	viral	133	13.244430918852045
Q716G6	viral	282	13.470681782403725
Q8SDC3	viral	327	17.246797044851064
D1L2X0	viral	869	15.928622788734318
G3FFN6	viral	343	14.79988509946916
M1EAS5	viral	749	13.682275895041439
O56788	viral	467	12.723134922510758
P03045	viral	107	15.960947212626102
P03621	viral	82	13.372026105499545
P03695	viral	301	15.653253358199606
P03710	viral	533	2.378187423226412
P06018	viral	241	18.68236663277843
P06808	viral	218	17.735734504716177
P08763	viral	646	5.7165673203681635
