accession	ESMC 600M	ESM3 Open	ESMC 6B	ESM3 Medium	ESM3 Large	n_models_low	mean_ppl_all_models	family	organism	protein_name
P12508	False	False	False	False	False	0	15.218306495679485	Retroviridae	Human immunodeficiency virus type 1 group M subtype B (isolate JH32) (HIV-1)	Protein Tat (Transactivating regulatory protein)
P19326	False	False	True	True	False	2	11.542601155312338	Arenaviridae	Lymphocytic choriomeningitis virus (strain Pasteur) (LCMV)	RING finger protein Z (Protein Z) (Zinc-binding protein)
Q02513	False	False	False	False	False	0	21.792006377176683	Papillomaviridae	Human papillomavirus type 53	Replication protein E1 (EC 5.6.2.4) (ATP-dependent helicase E1) (DNA 3'-5' helicase E1)
NP_579883.1	True	False	True	False	True	3	7.290050518606982			
NP_040874.2	False	False	False	False	False	0	16.614645014452186			
P0CK27	False	False	True	False	False	1	14.640329549510275	Poxviridae	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	Virion membrane protein OPG141
A0A7H0DNB3	False	True	True	False	False	2	12.584712893062465	Poxviridae	Monkeypox virus (MPXV)	Virion membrane protein OPG141
NP_597754.2	False	False	False	False	False	0	15.582425546696223			
NP_579881.1	True	True	True	True	True	5	4.202001324082884			
NP_787043.1	False	False	False	False	False	0	16.78901261148435			
P22110	False	False	False	False	False	0	16.467100741404533	Paramyxoviridae	Mumps virus genotype A (strain Jeryl-Lynn) (MuV)	Small hydrophobic protein
P22112	False	False	False	False	False	0	15.022228932936045	Paramyxoviridae	Mumps virus genotype B (strain Miyahara vaccine) (MuV)	Small hydrophobic protein
A4GCK6	False	False	False	False	False	0	20.432734691566644	Orthomyxoviridae	Influenza A virus (strain A/India/6263/1980 H1N1)	Protein PB1-F2
A8C8K3	False	False	False	False	False	0	19.923350436942258	Orthomyxoviridae	Influenza A virus (strain A/USA:Texas/UR06-0195/2007 H1N1)	Protein PB1-F2
Q07FH6	False	False	False	False	False	0	19.164062783759032	Orthomyxoviridae	Influenza A virus (strain A/China:Nanchang/11/1996 H1N1)	Protein PB1-F2
A4U7B5	False	False	False	False	False	0	20.373657323317342	Orthomyxoviridae	Influenza A virus (strain A/USA:Albany/12/1951 H1N1)	Protein PB1-F2
P22109	False	False	False	False	False	0	16.310000962954195	Paramyxoviridae	Mumps virus (strain Enders) (MuV)	Small hydrophobic protein
A3DRP9	False	False	False	False	False	0	19.52271521528323	Orthomyxoviridae	Influenza A virus (strain A/USA:Memphis/10/1996 H1N1)	Protein PB1-F2
P22111	False	False	False	False	False	0	15.51361535116549	Paramyxoviridae	Mumps virus (strain Matsuyama) (MuV)	Small hydrophobic protein
P22113	False	False	False	False	False	0	15.384268602554641	Paramyxoviridae	Mumps virus (strain Takahashi) (MuV)	Small hydrophobic protein
P69465	False	False	False	False	False	0	16.51224749407018	Paramyxoviridae	Mumps virus (strain SBL) (MuV)	Small hydrophobic protein
A4GCI4	False	False	False	False	False	0	19.724977863342684	Orthomyxoviridae	Influenza A virus (strain A/Chile/1/1983 H1N1)	Protein PB1-F2
P20716	False	False	False	False	False	0	16.012355847875185	Paramyxoviridae	Mumps virus genotype B (strain Urabe vaccine AM9) (MuV)	Small hydrophobic protein
P28086	False	False	False	False	False	0	15.931447760714766	Paramyxoviridae	Mumps virus (strain Kilham) (MuV)	Small hydrophobic protein
P28087	False	False	False	False	False	0	16.74065788517723	Paramyxoviridae	Mumps virus (strain RW) (MuV)	Small hydrophobic protein
NP_050205.1	False	True	False	False	False	1	13.43077418151741			
P28083	False	False	False	False	False	0	15.793079601248781	Paramyxoviridae	Mumps virus (strain Bristol 1) (MuV)	Small hydrophobic protein
P69187	False	False	False	False	False	0	16.21984501206116	Paramyxoviridae	Mumps virus (strain Edingburgh 2) (MuV)	Small hydrophobic protein
P28082	False	False	False	False	False	0	16.665408659376084	Paramyxoviridae	Mumps virus (strain Belfast) (MuV)	Small hydrophobic protein
P28085	False	False	False	False	False	0	18.146004081237578	Paramyxoviridae	Mumps virus (strain Edingburgh 4) (MuV)	Small hydrophobic protein
P08806	True	False	True	False	False	2	11.237801422833453	Retroviridae	Human immunodeficiency virus type 1 group M subtype A (isolate Z321) (HIV-1)	Protein Vpu (U ORF protein) (Viral protein U)
