accession	label	split	length	mean_perplexity	mean_recovery_rate	seed0_ppl	seed1_ppl	seed2_ppl	seed0_recovery	seed1_recovery	seed2_recovery
SHUF_N_sp|P20065|TYB4_MOUSE	shuffled_nonviral	all	50	15.223257164633097	0.23809524873892465	16.693558816388958	14.904152876648727	14.179683053826913	0.2857142984867096	0.2857142984867096	0.1428571492433548
SHUF_N_sp|P01499|MCDP_APIME	shuffled_nonviral	all	50	19.496192980831747	0.047619049747784935	17.035489346153472	20.090292729950747	21.652525913146203	0.1428571492433548	0.0	0.0
SHUF_N_sp|Q7ME78|Y4806_VIBVY	shuffled_nonviral	all	51	18.282308744132266	0.09523809949556987	20.122305153458562	20.922240476080248	14.514671002475072	0.0	0.1428571492433548	0.1428571492433548
SHUF_N_sp|P51424|RL391_ARATH	shuffled_nonviral	all	51	21.869987733226775	0.047619049747784935	26.317775841619525	17.62978928065582	22.54495191375967	0.1428571492433548	0.0	0.0
SHUF_N_sp|Q6LWK3|NOP10_METMP	shuffled_nonviral	all	51	15.604218098978208	0.3333333532015483	15.099438309606679	16.711406955477404	15.05747767725336	0.2857142984867096	0.4285714626312256	0.2857142984867096
SHUF_N_sp|Q55G59|Y9560_DICDI	shuffled_nonviral	all	51	17.699748227419917	0.09523809949556987	16.822494537565284	16.842777314320703	19.570285596290734	0.1428571492433548	0.1428571492433548	0.0
SHUF_N_sp|Q980F9|RL39_SACS2	shuffled_nonviral	all	51	22.274952814121942	0.1428571492433548	18.449673832860604	23.73794162106728	25.235890131073848	0.2857142984867096	0.0	0.1428571492433548
SHUF_N_sp|P26678|PPLA_HUMAN	shuffled_nonviral	all	52	18.930771993613988	0.19047619899113974	15.581814215790201	25.11868098506483	17.333653954882013	0.1428571492433548	0.1428571492433548	0.2857142984867096
SHUF_N_sp|Q51946|NAHQ_PSEPU	shuffled_nonviral	all	52	18.861080561880172	0.09523809949556987	18.72770318725905	17.11314444881089	20.93559828592928	0.0	0.1428571492433548	0.1428571492433548
SHUF_N_sp|Q1KXP9|YCF15_HELAN	shuffled_nonviral	all	53	17.220069496977374	0.19047619899113974	15.05355074862454	14.51031480215511	23.37700738126754	0.1428571492433548	0.2857142984867096	0.1428571492433548
SHUF_N_sp|B4SHH3|RL34_PELPB	shuffled_nonviral	all	53	16.118236518835857	0.1428571492433548	17.911389103812255	15.920854631072313	14.684424391830394	0.1428571492433548	0.1428571492433548	0.1428571492433548
SHUF_N_sp|Q02820|NCE1_YEAST	shuffled_nonviral	all	53	19.13652482030342	0.1428571492433548	21.993687110253397	19.446207860489455	16.385370016251926	0.0	0.1428571492433548	0.2857142984867096
SHUF_N_sp|P85498|ITRA_ALBKA	shuffled_nonviral	all	53	15.984673655672784	0.09523809949556987	15.361263065328552	14.715623743409955	18.0678185606964	0.0	0.2857142984867096	0.0
SHUF_N_sp|P9WH96|RL331_MYCTO	shuffled_nonviral	all	54	17.828026052992527	0.125	21.2008523413542	18.58169279937834	14.383718766870656	0.0	0.25	0.125
SHUF_N_sp|P67892|IOVO_DENBI	shuffled_nonviral	all	54	20.886485351277283	0.08333333333333333	23.39553550320091	19.283995131594896	20.196034028815102	0.0	0.125	0.125
SHUF_N_sp|P00268|RUBR_CLOPA	shuffled_nonviral	all	54	20.540565386051828	0.08333333333333333	19.395450688542482	24.567281535298076	18.187801350454528	0.125	0.0	0.125
SHUF_N_sp|A5FUI6|RL33_ACICJ	shuffled_nonviral	all	55	21.179914420534256	0.08333333333333333	19.55364933584182	20.073300568186774	24.206165194977874	0.125	0.0	0.125
SHUF_N_sp|B4T9C1|RL33_SALHS	shuffled_nonviral	all	55	20.778970214340415	0.16666666666666666	18.656314245574674	20.751638312189577	23.173616946792155	0.25	0.125	0.125
SHUF_N_sp|Q6IM91|DVL10_ARATH	shuffled_nonviral	all	55	27.103033592617027	0.08333333333333333	26.593106982333378	27.10387364831408	27.62188198086095	0.125	0.125	0.0
SHUF_N_sp|Q92QM4|RL33_RHIME	shuffled_nonviral	all	55	16.634493411927536	0.125	19.114114770642345	15.398958821609288	15.638071377865973	0.0	0.125	0.25
SHUF_N_sp|P81902|CSTI_BOMMO	shuffled_nonviral	all	55	21.122157587655856	0.041666666666666664	22.551505156059367	18.361479326618998	22.757871143093585	0.125	0.0	0.0
SHUF_N_sp|Q90YP2|RS29_ICTPU	shuffled_nonviral	all	56	25.599956846929015	0.041666666666666664	22.497206837864983	26.9201557364318	27.702025868608324	0.125	0.0	0.0
SHUF_N_sp|A1STV9|RL32_PSYIN	shuffled_nonviral	all	57	20.65226088189098	0.125	24.20990522116187	14.131128246780895	25.747370372991263	0.125	0.125	0.125
SHUF_N_sp|C0HLK3|3S11_MICTC	shuffled_nonviral	all	57	19.961964622602032	0.041666666666666664	24.170802056022588	17.166570790124656	19.17057919123062	0.0	0.125	0.0
SHUF_N_sp|O34850|YOTN_BACSU	shuffled_nonviral	all	58	20.212832904206543	0.041666666666666664	20.640325557802345	21.483061669412432	18.623823155809557	0.0	0.125	0.0
SHUF_N_sp|B1ICL4|RS21_STRPI	shuffled_nonviral	all	58	19.526327639445913	0.16666666666666666	26.848725522949472	14.954786188047777	18.542053651787377	0.0	0.375	0.125
SHUF_N_sp|Q3J1A4|LHA1_CERS4	shuffled_nonviral	all	58	21.428806775844908	0.125	17.665881819628638	28.009396278288094	19.886341707282533	0.25	0.0	0.125
SHUF_N_sp|Q38XA7|RS21_LATSS	shuffled_nonviral	all	58	17.031627224128037	0.041666666666666664	16.199645462931485	20.488682599987776	14.885001560036526	0.125	0.0	0.0
SHUF_N_sp|A0A3G3C7W0|CX67_CONAA	shuffled_nonviral	all	58	20.202994666650376	0.041666666666666664	25.200404510353962	16.523755617804092	19.802999308352923	0.0	0.125	0.0
SHUF_N_sp|P52158|RHO_ACIFI	shuffled_nonviral	all	58	18.099995570952586	0.08333333333333333	17.42765744471591	18.198892674991505	18.696117423922242	0.125	0.0	0.125
SHUF_N_sp|O31166|RL24_SPICI	shuffled_nonviral	all	58	20.56264262895516	0.041666666666666664	21.2438201419239	17.352190597233626	23.585759071909177	0.125	0.0	0.0
SHUF_N_sp|P0CJ19|NDBT_LYCMC	shuffled_nonviral	all	59	16.909410300651704	0.125	13.500815120831865	19.00670466116105	18.841634300334547	0.25	0.125	0.0
SHUF_N_sp|O27713|SECE_METTH	shuffled_nonviral	all	59	14.869846180846054	0.16666666666666666	16.721713557825325	12.90486115982109	15.23650336703221	0.25	0.125	0.125
SHUF_N_sp|P31535|HMENA_MYXGL	shuffled_nonviral	all	60	20.102362109578163	0.1111111119389534	23.579664220586466	20.16485620804756	17.08474611967905	0.1111111119389534	0.0	0.2222222238779068
SHUF_N_sp|B2SFU4|RL32_FRATM	shuffled_nonviral	all	60	19.107568771812453	0.07407407462596893	19.39782306658322	17.964172099141077	20.019632155899604	0.1111111119389534	0.1111111119389534	0.0
SHUF_N_sp|Q6FWE8|COX9_CANGA	shuffled_nonviral	all	60	17.41353867401442	0.1111111119389534	18.58779421491224	16.39172724936885	17.330397720636718	0.0	0.1111111119389534	0.2222222238779068
SHUF_N_sp|Q87YG4|RL32_PSESM	shuffled_nonviral	all	60	20.697697500176453	0.0	19.800350778422146	22.464667054298673	19.9339440789333	0.0	0.0	0.0
SHUF_N_sp|Q9IB50|MT_PAGMA	shuffled_nonviral	all	60	15.343528931050194	0.25925926119089127	12.094916197855127	21.09833436922437	14.155484391756914	0.4444444477558136	0.1111111119389534	0.2222222238779068
SHUF_N_sp|A9BRW9|RL30_DELAS	shuffled_nonviral	all	60	17.031853268832243	0.14814815173546472	19.197317678568375	14.754253583484155	17.44327090503364	0.0	0.3333333432674408	0.1111111119389534
SHUF_N_sp|P01413|3SP1_DENJA	shuffled_nonviral	all	61	21.44796737118086	0.03703703731298447	23.343434376730748	19.201721254858032	22.011696113913445	0.1111111119389534	0.0	0.0
