accession	label	split
A0A7H0DN85	viral	val
A4GCJ8	viral	train
A5HBE1	viral	val
B4URD7	viral	train
C7BG48	viral	train
D0EZM8	viral	test
F5HCV3	viral	val
F5HDE4	viral	train
O11457	viral	train
O12164	viral	test
O70902	viral	test
O70903	viral	val
O89291	viral	train
O89293	viral	val
O89943	viral	train
O89945	viral	val
O91087	viral	val
O93182	viral	train
P03141	viral	val
P03155	viral	val
P03205	viral	val
P03269	viral	train
P03409	viral	test
P03433	viral	train
P03437	viral	train
P03451	viral	train
P03520	viral	train
P04290	viral	val
P04326	viral	train
P04413	viral	val
P04485	viral	val
P04579	viral	test
P04581	viral	test
P04593	viral	train
P04601	viral	val
P04608	viral	train
P04609	viral	train
P04613	viral	train
P05777	viral	val
P05780	viral	train
P05854	viral	val
P05857	viral	val
P05859	viral	val
P05890	viral	train
P05907	viral	train
P05908	viral	train
P05919	viral	train
P06427	viral	val
P06437	viral	val
P06463	viral	test
P06939	viral	train
P08669	viral	val
P0C209	viral	train
P0C699	viral	test
P0C6H2	viral	test
P0C6I5	viral	test
P0C6K4	viral	test
P0DJW8	viral	val
P0DOI7	viral	train
P10186	viral	test
P10920	viral	train
P11193	viral	train
P12493	viral	train
P12494	viral	train
P12498	viral	train
P13288	viral	train
P14351	viral	train
P15198	viral	test
P18356	viral	val
P18801	viral	val
P19546	viral	val
P19550	viral	test
P19893	viral	train
P20871	viral	test
P20873	viral	train
P20880	viral	train
P20895	viral	train
P21430	viral	train
P22363	viral	test
P26554	viral	train
P27912	viral	train
P29326	viral	test
P31873	viral	val
P33426	viral	test
P35253	viral	train
P59595	viral	train
P67867	viral	train
P68951	viral	val
P89522	viral	train
Q01403	viral	train
Q05323	viral	test
Q4JR05	viral	val
Q67876	viral	test
Q69027	viral	train
Q69091	viral	test
Q73367	viral	train
Q73370	viral	train
Q74126	viral	val
Q77IM6	viral	train
Q79670	viral	test
Q7T9D9	viral	train
Q8AZK7	viral	train
Q8JSD9	viral	train
Q91C37	viral	test
Q997F2	viral	train
Q9E6S4	viral	val
Q9IDV2	viral	test
Q9IH63	viral	val
Q9IK92	viral	train
Q9IQ49	viral	train
Q9IVZ8	viral	test
Q9QAB7	viral	val
Q9QBZ6	viral	train
Q9QBZ7	viral	val
Q9WC69	viral	test
Q9WC70	viral	val
Q9WMB7	viral	test
A0A0B5AC19	viral	test
A3DRP1	viral	train
A3RM20	viral	test
A5HBG1	viral	train
B2C4J0	viral	train
F5HF68	viral	train
O12157	viral	train
O91086	viral	test
O92920	viral	test
O92921	viral	val
P03138	viral	val
P03146	viral	test
P03188	viral	test
P03191	viral	train
P03208	viral	train
P03230	viral	val
P03244	viral	train
P03262	viral	val
P03265	viral	val
P03348	viral	train
P03353	viral	test
P03406	viral	val
P03423	viral	train
P03431	viral	val
P03435	viral	train
P03452	viral	train
P03470	viral	train
P03474	viral	test
P03502	viral	test
P03521	viral	val
P04014	viral	test
P04289	viral	train
P04487	viral	train
P04545	viral	train
P04580	viral	test
P04583	viral	test
P04590	viral	train
P04594	viral	train
P04624	viral	test
P04851	viral	test
P05855	viral	val
P05856	viral	val
P05877	viral	test
P05883	viral	val
P06442	viral	test
P06789	viral	train
P06922	viral	val
P08393	viral	test
P08667	viral	test
P09257	viral	val
P0C1K3	viral	train
P0C1K7	viral	train
P0C2M3	viral	train
P0C692	viral	test
P0C6H5	viral	test
P0C774	viral	train
P0DJZ6	viral	train
P0DOE4	viral	val
P0DSX5	viral	val
P10185	viral	train
P10210	viral	test
P10274	viral	test
P12449	viral	val
