accession	label	split	length	mean_perplexity	mean_recovery_rate	seed0_ppl	seed1_ppl	seed2_ppl	seed0_recovery	seed1_recovery	seed2_recovery
SHUF_V_P12508	shuffled_viral	all	51	16.34323845662524	0.0	18.304596000864446	15.620296986569087	15.267394132302812	0.0	0.0	0.0
SHUF_V_P19326	shuffled_viral	all	51	19.11961301540095	0.09523809949556987	25.56405681024073	17.924786110829118	15.252939138694924	0.0	0.1428571492433548	0.1428571492433548
SHUF_V_Q02513	shuffled_viral	all	52	18.822036065882468	0.0	17.116053801386858	19.514030290983197	19.964074691886427	0.0	0.0	0.0
SHUF_V_NP_579883.1	shuffled_viral	all	52	17.18128945390452	0.0	14.417100973421835	21.516821403056866	16.349753456979546	0.0	0.0	0.0
SHUF_V_NP_040874.2	shuffled_viral	all	52	19.419789427013693	0.09523809949556987	18.96583328980129	21.21943642005054	18.198172422858438	0.0	0.0	0.2857142984867096
SHUF_V_P0CK27	shuffled_viral	all	53	14.396355738457443	0.09523809949556987	16.513574966037318	13.562632506760433	13.322097641422891	0.1428571492433548	0.1428571492433548	0.0
SHUF_V_A0A7H0DNB3	shuffled_viral	all	53	22.343815713012788	0.0	28.654682772607206	14.344386605438899	27.139037159071844	0.0	0.0	0.0
SHUF_V_NP_597754.2	shuffled_viral	all	54	18.62609374994797	0.08333333333333333	17.931496921932002	20.62279934782834	17.474356488301254	0.0	0.125	0.125
SHUF_V_NP_579881.1	shuffled_viral	all	55	22.152130783236696	0.041666666666666664	20.08730405526864	26.24619806580578	20.618566367129294	0.0	0.0	0.125
SHUF_V_NP_787043.1	shuffled_viral	all	56	17.02711913873921	0.125	16.586529482467448	18.13381219447733	16.412656709790333	0.0	0.25	0.125
SHUF_V_P22110	shuffled_viral	all	57	21.524640958806497	0.20833333333333334	22.89160401542409	21.429143974191696	20.329500139592547	0.125	0.25	0.25
SHUF_V_P22112	shuffled_viral	all	57	18.4429948146603	0.20833333333333334	13.12145023883505	18.839792590123174	25.376771980371252	0.375	0.125	0.125
SHUF_V_A4GCK6	shuffled_viral	all	57	24.850641122685545	0.0	23.63070375663087	22.926210665134146	28.32721366176919	0.0	0.0	0.0
SHUF_V_A8C8K3	shuffled_viral	all	57	22.138626636853356	0.041666666666666664	22.50777591134965	21.59839917667726	22.32018973577163	0.0	0.125	0.0
SHUF_V_Q07FH6	shuffled_viral	all	57	20.246491894612493	0.041666666666666664	24.01720152255866	18.16949833002727	19.018839496673085	0.0	0.0	0.125
SHUF_V_A4U7B5	shuffled_viral	all	57	21.713924482697568	0.0	20.390230617614062	20.917352561304625	24.004138009028424	0.0	0.0	0.0
SHUF_V_P22109	shuffled_viral	all	57	17.489547538774172	0.25	15.160802035615815	18.64944777906252	18.92115176821752	0.25	0.25	0.25
SHUF_V_A3DRP9	shuffled_viral	all	57	23.19199308143443	0.0	24.998857120483702	23.783624264630912	20.980509412044768	0.0	0.0	0.0
SHUF_V_P22111	shuffled_viral	all	57	16.68249130165047	0.20833333333333334	20.386123140091126	17.356713019957265	13.121412698118492	0.125	0.125	0.375
SHUF_V_P22113	shuffled_viral	all	57	18.10126002005831	0.125	16.306860718627906	16.564197442453796	21.957640001754633	0.25	0.0	0.125
SHUF_V_P69465	shuffled_viral	all	57	23.250004431769632	0.08333333333333333	33.533553658422676	22.608769673115855	16.577254733219224	0.0	0.0	0.25
SHUF_V_A4GCI4	shuffled_viral	all	57	20.757627392568118	0.125	19.43067769903951	20.373732809124533	22.593035326574906	0.125	0.125	0.125
SHUF_V_P20716	shuffled_viral	all	57	19.12963516038214	0.125	26.62387517828674	13.789025130709575	19.068442878389135	0.125	0.25	0.0
SHUF_V_P28086	shuffled_viral	all	57	18.90980210237095	0.16666666666666666	17.280593392509584	23.247870385001455	16.831356717763075	0.25	0.125	0.125
