accession	label	split	length	mean_perplexity	mean_recovery_rate	seed0_ppl	seed1_ppl	seed2_ppl	seed0_recovery	seed1_recovery	seed2_recovery
SHUF_N_sp|P20065|TYB4_MOUSE	shuffled_nonviral	all	50	15.85866284834568	0.19047619899113974	17.338787485016418	15.02506993122813	15.30962217642284	0.1428571492433548	0.2857142984867096	0.1428571492433548
SHUF_N_sp|P01499|MCDP_APIME	shuffled_nonviral	all	50	19.243928336182798	0.0	16.90366770728316	20.031434618739805	21.046902644540534	0.0	0.0	0.0
SHUF_N_sp|Q7ME78|Y4806_VIBVY	shuffled_nonviral	all	51	18.14481291433138	0.1428571492433548	20.646266104290184	16.576709321270172	17.45491110918368	0.1428571492433548	0.1428571492433548	0.1428571492433548
SHUF_N_sp|P51424|RL391_ARATH	shuffled_nonviral	all	51	22.531663121894113	0.047619049747784935	25.485504181103742	23.998507205601374	18.702613132134168	0.1428571492433548	0.0	0.0
SHUF_N_sp|Q6LWK3|NOP10_METMP	shuffled_nonviral	all	51	16.218742892515948	0.2857143034537633	16.148797191855337	17.073922662606698	15.473126542806861	0.1428571492433548	0.4285714626312256	0.2857142984867096
SHUF_N_sp|Q55G59|Y9560_DICDI	shuffled_nonviral	all	51	18.56931740856841	0.09523809949556987	17.874812024322424	17.337150542218687	20.66182199200453	0.1428571492433548	0.1428571492433548	0.0
SHUF_N_sp|Q980F9|RL39_SACS2	shuffled_nonviral	all	51	17.831245413683916	0.09523809949556987	19.366575354763796	18.3399273470184	15.962267736315011	0.1428571492433548	0.1428571492433548	0.0
SHUF_N_sp|P26678|PPLA_HUMAN	shuffled_nonviral	all	52	18.09852840284265	0.19047619899113974	22.62112773327026	19.242022835487855	13.61961444135567	0.2857142984867096	0.0	0.2857142984867096
SHUF_N_sp|Q51946|NAHQ_PSEPU	shuffled_nonviral	all	52	19.175017779193244	0.09523809949556987	18.58342066581828	18.98428218605668	19.984233122537315	0.0	0.1428571492433548	0.1428571492433548
SHUF_N_sp|Q1KXP9|YCF15_HELAN	shuffled_nonviral	all	53	17.390256233516304	0.19047619899113974	14.678529824551038	15.015347253781588	23.861624287259573	0.1428571492433548	0.2857142984867096	0.1428571492433548
SHUF_N_sp|B4SHH3|RL34_PELPB	shuffled_nonviral	all	53	16.034110578205443	0.1428571492433548	21.901638281994025	13.286286160931184	14.166234250115444	0.0	0.1428571492433548	0.2857142984867096
SHUF_N_sp|Q02820|NCE1_YEAST	shuffled_nonviral	all	53	27.85873412049971	0.09523809949556987	30.152371893870594	28.50730471821969	25.15396756730415	0.0	0.1428571492433548	0.1428571492433548
