accession	label	split	length	mean_perplexity	mean_recovery_rate	seed0_ppl	seed1_ppl	seed2_ppl	seed0_recovery	seed1_recovery	seed2_recovery
RAND_03211	random	all	50	23.831353081944794	0.047619049747784935	26.21976684516027	22.541716314453232	22.899726638307186	0.0	0.1428571492433548	0.0
RAND_04295	random	all	50	23.68940205259705	0.0	24.93469469225232	20.183999841297155	26.41502385780352	0.0	0.0	0.0
RAND_00337	random	all	51	21.515568007124795	0.09523809949556987	22.632548225200537	21.578783498860886	20.39379434239648	0.1428571492433548	0.1428571492433548	0.0
RAND_00624	random	all	51	25.067792208919585	0.047619049747784935	25.157812049090797	29.501894710394325	21.223914202915346	0.1428571492433548	0.0	0.0
RAND_00853	random	all	51	20.226662067128323	0.1428571492433548	16.900008728572523	17.722554851891488	27.628633014833305	0.2857142984867096	0.1428571492433548	0.0
RAND_01009	random	all	51	30.175603335807565	0.047619049747784935	28.449530467190932	25.039556605018042	38.571466326300026	0.1428571492433548	0.0	0.0
RAND_01210	random	all	51	20.774756360271706	0.047619049747784935	20.54181095834627	23.47553118427185	18.593179480587324	0.0	0.0	0.1428571492433548
RAND_01225	random	all	51	24.558032653327206	0.2380952537059784	22.414334333062012	30.991484786696546	21.321241448716787	0.4285714626312256	0.0	0.2857142984867096
RAND_01243	random	all	51	26.0027689293195	0.0	23.097375801303464	27.470625377988764	27.709430701739826	0.0	0.0	0.0
RAND_01394	random	all	51	24.946395007215013	0.047619049747784935	26.40459670582346	22.8800364376216	25.697278658073916	0.0	0.1428571492433548	0.0
RAND_04279	random	all	51	21.82554009538727	0.0	21.79870422301112	22.33160205108145	21.35720616118645	0.0	0.0	0.0
RAND_04826	random	all	51	24.55575707996279	0.09523809949556987	21.29259552909314	31.231575397289753	22.265758241726925	0.1428571492433548	0.0	0.1428571492433548
RAND_00843	random	all	52	25.102021788394964	0.0	27.679242500216464	23.42043747164586	24.399273938660397	0.0	0.0	0.0
RAND_01569	random	all	52	23.97768738312256	0.09523809949556987	23.483043563772032	22.630697466020536	25.939975303409383	0.0	0.1428571492433548	0.1428571492433548
RAND_03283	random	all	52	22.373225107114273	0.0	25.2324066992794	21.463627500958857	20.678735499632385	0.0	0.0	0.0
RAND_03944	random	all	52	19.238360705517362	0.09523809949556987	12.419899491220585	17.349026016097447	33.045399756308704	0.1428571492433548	0.1428571492433548	0.0
RAND_00920	random	all	53	17.8803587604684	0.23809524873892465	18.070097479625495	18.122276609818545	17.45643015019163	0.2857142984867096	0.1428571492433548	0.2857142984867096
RAND_01691	random	all	53	20.234935802959004	0.1428571492433548	18.469470000836136	22.271492236002278	20.14196063805374	0.1428571492433548	0.2857142984867096	0.0
RAND_03301	random	all	53	20.271602143882493	0.1428571492433548	18.70432994534975	17.702727762044677	25.15833388831566	0.2857142984867096	0.1428571492433548	0.0
RAND_04401	random	all	53	22.069436708113443	0.19047619899113974	28.496343795511244	19.655572607005897	19.191057367370462	0.1428571492433548	0.1428571492433548	0.2857142984867096
RAND_00917	random	all	54	21.9768595144684	0.041666666666666664	27.597262927464556	23.370843888682717	16.457220585636644	0.0	0.0	0.125
RAND_03225	random	all	55	24.589516125733716	0.0	29.99054736295724	20.323418151725793	24.393201495641197	0.0	0.0	0.0
RAND_03296	random	all	55	22.270147092450475	0.08333333333333333	21.86884932670101	21.72126326153235	23.251889207387787	0.125	0.0	0.125
RAND_03437	random	all	55	20.096879920805286	0.08333333333333333	24.303837280098957	17.325394725579514	19.276488609755493	0.125	0.0	0.125
RAND_04366	random	all	55	20.76865835319475	0.08333333333333333	24.64357389060682	19.780773981742794	18.377158246712487	0.0	0.125	0.125
RAND_04891	random	all	55	20.130662589059817	0.125	16.821267278988973	21.210812394082	22.86431500207375	0.25	0.125	0.0
RAND_00142	random	all	57	23.537367946569336	0.08333333333333333	25.57742042379205	22.76591917446394	22.39400431821275	0.0	0.125	0.125
RAND_00850	random	all	57	23.180026857288627	0.041666666666666664	20.25668455156738	24.85249962155363	24.740208965329828	0.0	0.0	0.125
RAND_01168	random	all	57	25.174842388974955	0.0	25.468648253654443	27.9731050605276	22.39513624591727	0.0	0.0	0.0
