accession	label	split	length	mean_perplexity	mean_recovery_rate	seed0_ppl	seed1_ppl	seed2_ppl	seed0_recovery	seed1_recovery	seed2_recovery
RAND_03211	random	all	50	22.13592257351524	0.047619049747784935	20.323229178865706	21.821948162614543	24.457195033112697	0.0	0.1428571492433548	0.0
RAND_04295	random	all	50	23.750388382895277	0.0	25.060890154637868	20.396035967199285	26.21017288671208	0.0	0.0	0.0
RAND_00337	random	all	51	23.351097484239343	0.09523809949556987	18.66819866914365	28.79189235380205	23.68913848102973	0.1428571492433548	0.0	0.1428571492433548
RAND_00624	random	all	51	23.068935793215026	0.047619049747784935	23.61347563745299	21.912972427434923	23.72583323836591	0.0	0.1428571492433548	0.0
RAND_00853	random	all	51	20.948981272823353	0.09523809949556987	17.137838642393756	18.49132851419807	29.011124431850806	0.1428571492433548	0.1428571492433548	0.0
RAND_01009	random	all	51	28.669176703347272	0.0	30.40086041163617	23.47892321299882	33.0127431943976	0.0	0.0	0.0
RAND_01210	random	all	51	22.326888795864804	0.09523809949556987	23.69201910083423	22.972439737480585	20.449158108096434	0.1428571492433548	0.1428571492433548	0.0
RAND_01225	random	all	51	21.16582880174268	0.09523809949556987	21.246433802141127	20.72506706411129	21.53395732627389	0.1428571492433548	0.1428571492433548	0.0
RAND_01243	random	all	51	25.95725043987996	0.047619049747784935	23.708942751899666	27.47363176641508	26.85021705213009	0.0	0.0	0.1428571492433548
RAND_01394	random	all	51	24.380722059763396	0.047619049747784935	25.49863827074069	21.193605173351607	26.817473692665583	0.0	0.1428571492433548	0.0
RAND_04279	random	all	51	22.036703020535068	0.0	22.72634681857087	19.400561142246488	24.27146188987393	0.0	0.0	0.0
RAND_04826	random	all	51	22.97290164055073	0.1428571492433548	23.35230191554284	22.437154106753123	23.13929333666326	0.2857142984867096	0.1428571492433548	0.0
RAND_00843	random	all	52	25.046172123004805	0.0	28.241564231137	23.869191929595047	23.307603333384673	0.0	0.0	0.0
RAND_01569	random	all	52	23.5013568906362	0.09523809949556987	22.794764575162525	22.763254271760587	25.015509480536142	0.0	0.1428571492433548	0.1428571492433548
RAND_03283	random	all	52	23.251442021308883	0.0	23.175047971368578	21.704299116745194	24.99097898828481	0.0	0.0	0.0
RAND_03944	random	all	52	22.15075588073109	0.0	22.72715959060178	18.730735189660685	25.530873099783314	0.0	0.0	0.0
RAND_00920	random	all	53	18.368448516395798	0.1428571492433548	19.289664883054918	17.015148935904715	18.882391087284557	0.1428571492433548	0.1428571492433548	0.1428571492433548
RAND_01691	random	all	53	21.292829051690777	0.09523809949556987	18.51835579760318	23.953611100415845	21.76339697523033	0.1428571492433548	0.1428571492433548	0.0
RAND_03301	random	all	53	21.52176045944831	0.09523809949556987	25.17119734702287	17.01766429294172	23.27177735308768	0.0	0.2857142984867096	0.0
RAND_04401	random	all	53	29.23203511633996	0.0	24.6687749753618	35.31682313581733	28.671336728256744	0.0	0.0	0.0
RAND_00917	random	all	54	21.041249821311734	0.0	26.272756153250935	22.095761214332015	16.047226972235077	0.0	0.0	0.0
RAND_03225	random	all	55	22.170784015609332	0.041666666666666664	23.72814127583608	18.96921138045635	24.211971718003024	0.0	0.125	0.0
RAND_03296	random	all	55	24.26445705441209	0.041666666666666664	33.57175162859097	21.708237426917645	19.60257704247472	0.0	0.125	0.0
RAND_03437	random	all	55	22.893858191072304	0.0	21.25457062439758	21.533017807291934	26.218010294446405	0.0	0.0	0.0
RAND_04366	random	all	55	20.861003050769206	0.08333333333333333	23.828372197730857	20.512960184052737	18.573033735912578	0.0	0.125	0.125
