accession	label	length	mean_perplexity
O39521	viral	292	13.336477863082758
P03567	viral	352	2.1825970868106
P03588	viral	961	16.330352513627037
P0CK09	viral	1016	14.86247625631807
P12870	viral	407	16.29200032272107
P17519	viral	639	16.14769992974986
Q9IV54	viral	463	15.67630064362167
O72157	viral	962	17.1424523337569
Q0PW25	viral	942	17.172739792239298
Q80874	viral	153	16.794158096706614
P09514	viral	670	16.68863223593333
P22956	viral	767	16.095211030148175
Q89504	viral	568	16.094842644218996
P03607	viral	279	17.668510224793717
P21405	viral	956	17.79423521165752
P21935	viral	256	18.02784857819049
P23009	viral	1018	18.284819609570086
P31630	viral	1002	18.63678880182788
Q91J24	viral	85	17.27033760088756
Q9WIJ5	viral	286	16.96018405475106
O39522	viral	334	10.401454458973626
O39828	viral	286	17.030721721830975
P03562	viral	129	6.2518565673961
P04867	viral	528	14.496351947854404
P27260	viral	359	2.2685365923705265
Q08542	viral	54	16.76843184855169
Q66929	viral	998	17.932779528406225
Q9DXE6	viral	134	6.852061662511414
Q9IV52	viral	190	17.754032323368662
P03591	viral	221	18.0039150534116
P03601	viral	190	15.821544168796343
P06663	viral	351	17.277886754958935
P0C647	viral	359	14.45145301011874
P0CJ93	viral	986	13.346106180247364
P0CK00	viral	1008	13.782839331105336
P0CK02	viral	1020	13.990407894890117
P0CK05	viral	993	14.159484249375312
P0CK07	viral	992	13.260662055840578
P0CK15	viral	997	13.480824812368013
P0CK40	viral	353	2.924770340275971
P14980	viral	272	16.184516192342883
P14991	viral	358	3.684779851446361
P21936	viral	293	14.019076459291371
P27259	viral	357	1.5405233108229575
P30328	viral	437	11.110364361132408
P36279	viral	362	1.5723790798744774
Q00338	viral	323	16.98505437865724
Q67590	viral	348	12.98440568782929
Q67591	viral	217	16.086364423997555
Q67620	viral	359	2.313223074368771
Q82676	viral	351	2.651128717132135
Q84424	viral	330	14.10141354090811
Q9IGY6	viral	272	16.039676309966687
Q9IGY7	viral	355	13.571120084732591
O40986	viral	354	14.724520423668674
O41136	viral	197	15.48112284647661
P09506	viral	607	15.420616928549068
P0CK10	viral	977	14.326306377375543
P0CK39	viral	353	3.2286522212440807
P14972	viral	358	2.3754995013325897
P14982	viral	358	2.420679493271314
P14988	viral	360	13.395124974652825
P26658	viral	211	17.58303118007746
P27262	viral	135	6.734200835282325
P31617	viral	295	13.096983981322335
P36341	viral	1009	18.370136114775406
P38485	viral	997	18.312082058383965
P68559	viral	322	16.854177531639742
Q06923	viral	349	2.8713796903205924
Q08317	viral	446	16.096036091723313
Q65729	viral	942	16.028525122569643
Q67622	viral	351	12.247939788418892
Q96703	viral	129	6.659124287331716
Q96706	viral	256	18.232007291354392
P04868	viral	155	16.813368443907397
P0CK01	viral	985	14.133223997001124
P0CK08	viral	992	13.197316501248542
P0CK14	viral	996	13.233014374689803
P11622	viral	639	16.20101663619865
P11626	viral	716	16.83196267780176
P18478	viral	1017	5.450408241991254
P18921	viral	295	14.370144966315765
P27258	viral	361	2.176448854872756
P31618	viral	337	10.324555719546284
P68831	viral	106	15.325102764855687
P69513	viral	264	16.847833752649308
Q80GM6	viral	364	14.321013086204562
Q83264	viral	993	17.819563834628905
Q86567	viral	286	17.27332309668655
Q89822	viral	314	17.501812536518077
Q91MF8	viral	355	13.24235330311624
Q91MG1	viral	271	16.412003238056936
Q91MG2	viral	354	13.458691568673425
Q9IR51	viral	286	16.87078953122699
P06847	viral	264	15.519138632883807
P0CJ95	viral	975	15.174391853021415
P0CK06	viral	986	13.1931354845178
P0CK13	viral	991	14.140210952340661
P10471	viral	156	16.556170639080523
P13561	viral	996	18.08393224574567
P14978	viral	360	13.36745828199956
P14989	viral	355	13.27694157338932
P17525	viral	716	16.981669290107018
P29048	viral	347	3.693411300888574
P69687	viral	159	16.948647480212497
Q06657	viral	361	1.9469268133348285
Q06658	viral	129	6.288227248172271
Q91MF7	viral	272	15.94358507393623
Q98459	viral	210	17.63763012100745
Q9ICP7	viral	286	16.87985825374645
Q9YPS2	viral	361	3.0443947460233765
O40987	viral	272	18.234841657373963
O41043	viral	649	10.789571797784165
